,Q,A
7915,1 : 지금도 티비에서 하고있어! 봐봐,2 : 내 친구도 그거 먹던데 알려줘야겠다 키키
7916,1 : 응 하하 티비로 보고 앱으로 사!,2 : 설명 듣고 결제는 앱으로 해버리기~
7917,1 : 나도 내가 가구 만들어보고 싶어,2 : 오 가구 만드는거?
7918,1 : 나도 내가 가구 만들어보고 싶어,2 : 관심 있어?
7919,1 : 응 요즘 그런거 배워보고 싶어ㅠㅠ,2 : 맞아 원데이 클래스 그런거 있을텐데 체험 한번 해봐!
7920,1 : 응 안그래도 손장갑사서 가려고 하하,2 : 응 요즘 가구 배우는거 사람들 많이 하더라!
7921,1 : 이건 내 가구 만들러 가는거라 나 혼자!,2 : 나도 체험 좋아 하는데 키키
7922,1 : 이건 내 가구 만들러 가는거라 나 혼자!,2 : 나랑도 같이 가자!
7923,1 : 응 식탁 하나 만들면 집 분위기도 바뀔거같아,2 : 맞아 그리고 직접 만든거면 의미 있잖아!
7924,1 : 그럼 미리 식탁보 사야지 하하,2 : 처음에 소소하게 만들고 점점 크게 넓혀가자 키키
7925,1 : 나 이번에 패딩 마련했어,2 : 역시 빨라 키키 뭐든 유행 선두주자야
7926,1 : 응 이번에 한라산 가는데 눈 내렸더라고,2 : 아 한라산?
7927,1 : 응 이번에 한라산 가는데 눈 내렸더라고,2 : 산 가려면 따숩게 입긴 해야지 ㅠㅠ
7928,1 : 부산은 눈이 잘 안와서 눈 구경 해야해 하하,2 : 아 맞아 부산은 눈 잘 안오긴 하더라 ㅠㅠ
7929,1 : 응 근데 요즘 온난화 때문에 오기도 하더라,2 : 아 거기도 좀 춥고 그래?
7930,1 : 응 부산도 이제 진짜 추워,2 : 아이고 패딩 사길 잘한 거 같네!
7931,1 : 응 ㅠㅠ 눈만 왔으면 좋겠다,2 : 다들 감기도 조심하고 ㅠㅠ 몸 챙기자!
7932,1 : 나 서점에서 토익책 샀어 하하,2 : 오 너 요즘 토익 공부 많이 한다?
7933,1 : 응 이번엔 진짜로 할 거야,2 : 어 이번에 끈기 있게 끝까지 잘 해봐!
7934,"1 : 저번엔, 다른 일이 많았어,",2 : 저번에는 맛보기로 살짝 한 거 같은데 키키
7935,1 : 응 당연하지 나의 목표다 키키,2 : 키키 그럼 토익 공부 하는 건 안 어려워?
7936,1 : 토익 공부 약간 패턴이 있어,2 : 아 그것도 패턴이 있어?
7937,1 : 문제 유형이 거의 비슷해 하하,2 : 아아 그럼 잘 외워서 하면 되겠네!
7938,1 : 나 이번에 무신사에서 오징어게임 츄리닝 삼~,2 : 무신사에 오겜 츄리닝도 나왔어?
7939,1 : 이거 이벤트로 추첨해서 당첨돼야해,2 : 헐 나 커플템으로 입고 싶은데 ㅠㅠ
7940,1 : 니 몫까지 내가 잘 입어줄께~,2 : 이벤트 추첨은 지금 다 끝난거지?
7941,1 : 니 몫까지 내가 잘 입어줄께~,2 : 또 안한대? ...
7942,1 : 응 따로 다른데서 하지는 않더라,2 : 아 소식 빨리 알았으면 나도 신청 했을텐데 ㅠㅠ
7943,1 : 다음에 이런 이벤트 알람 신청해놔,2 : 듣다보면 무신사 거기가 좋은거 같아 키키
7944,1 : 다른 앱에서 하는지 한번 볼까?,2 : 웅 다른앱에서 하는거 발견하면 알려 줘 ㅠㅠ
7945,1 : 아니 군데 PX가 그렇게 저렴해?,2 : 어 맞아 거기 최고야 천국임
7946,1 : 키키 아 나만 못 가본 거야?,2 : 아직 안 가봤어?
7947,1 : 키키 아 나만 못 가본 거야?,2 ;  빨리 가봐 진짜 좋아 키키
7948,1 : 아니 내 동생도 안 사주던데 ㅠㅠ,2 : 아니야 거기 면회 가면 갈 수 있어 ㅠㅠ
7949,1 : 아 얘가 일부러 안사줬네... 진짜?,2 : 오 그럼 나도 하나 사다 줘라 하하
7950,1 : 오 그럼 나는 거기서 크림 하나만!,2 : 나 거기 로카 후리스 그거 갖고 싶어 ㅠㅠ
7951,1 : 헐 그럼 나도 후리스 하나만 ㅠㅠ,2 : 헐랭 만약 보게 되면 사다 줘 ㅠㅠ
7952,1 : 오늘 노태우 전 대통령 돌아가셨대ㅠㅠ,2 : 그 분 언제 대통령 하셨던 분이지 ...
7953,1 : 엄청 오래됐는데 징역 살았지않아?,2 : 나 진짜 사회에 많이 관심이 없나봐 ㅠㅠ
7954,1 : 그래서 대통령 예우도 박탈당했잖아,2 : 헐 그런 몰랐네
7955,1 : 그래서 대통령 예우도 박탈당했잖아,2 : 이름만 들으면 누군지 몰랐을 듯 키키
7956,1 : 내가 알던 대통령들이 점점 사라져가ㅠ,2 : 이런거 보면 시간이 정말 빨리가
7957,1 : 응ㅎ 이런 기사보면 더 그런거같아,2 : 그러게 내년에 투표도 있는거 알지?
7958,1 : 맞아 투표는 국민의 권리이니까 하하,2 : 웅 젊은 사람들도 많이 참여 한다고 하더라 하하
7959,1 : 나 피부 태닝하러 가려고,2 : 그거 겨울철에도 할 수 있는 거야?
7960,1 : 이것도 전에 태닝했었던 거야! 응,2 : 오 대박 그거 하면 좋아?
7961,1 : 나 다니는 헬스장에 기계가 있어,2 : 어 맞아 요즘은 기계로 나왔다고 그러더라!
7962,1 : 응 하하 한번 할 때 금액도 그렇게 안 비싸,2 : 오 헬스장에서 하면 얼마나 하는데?
7963,1 : 음 한번 하는데 5만 원도 안 해,2 : 대박 그거 원래 몇 십만 원 하는 거 맞지?
7964,1 : 태닝 기계로 하면 좀 비싸지,2 : 아항 한번 하고 알려 줘 키키
7965,1 : 다들 요즘 클라이밍인가? 하더라,2 : 어 암벽등반 그런거 말 하는거 맞지?
7966,1 : 응 아니 진짜 재밌어 보여,2 : 그거 나 아는애 했는데 물집 엄청 잡혔대 ㅠㅠ
7967,1 : 아무래도 손 힘이 세야하나봐,2 : 웅 손 많이 써서 그런거 같더라고 ㅠㅠ
7968,"1 : 와,, 그래도 성취감 장난 아닐듯",2 : 그래서 그렇게 살 다 터지면 일주일 쉬고 그래야 된다고 하더라!
7969,1 : 와 한번 하는데 체력이 장난 아니네,2 : 그거 좀 나을 때까지 기다려야 되나봐 ㅠㅠ
7970,1 : 응 아무래도 올라달때 집중해야지,2 : 근데 재밌어서 그렇게 아픈데도 계속 하는거 같더라고 키키
7971,1 : 나 코로나 풀리면 순례길 갈꺼야,2 : 아 나도 코로나 풀리면 놀러 다닐거야 ㅠㅠ
7972,1 : 응 산티아고 순례길 인가?,2 : 그거 어디 예능에 나왔어?
7973,1 : 차승원 나오는 예능일 걸?,2 : 원래 길들이 가면 엄청 힘들더라고 ㅠㅠ
7974,1 : 차승원 나오는 예능일 걸?,2 ; 아 유해진이랑 나온 거?
7975,1 : 고생끝에 달콤함이 온다고 했어!,2 : 오오 맞아 나 그거 본 거 같아 숙소 잡아서 사람들 밥 해준거!
7976,1 : 근데 비용도 좀 들겠지?,2 : 아 거기 나도 한번 가보고 싶긴 하더라 키키 응 거기 비용 꽤 들듯
7977,1 : 흠 그럼 지금부터 돈 모아야지,2 : 나도 코로나 전에 열심히 모아봐야겠다 키키
7978,1 : 나 부동산 보러 왔어!,2 : 오 너 이번에 이사 가려고?
7979,1 : 아니 이번에 전세로 옮기려고!,2 : 아 지금 사는 곳은 전세로 변경은 안돼?
7980,1 : 아휴,2 : 맞아 전세 구하는 게 어렵다고 그러더라 ㅠㅠ
7981,1 : 응 지금 여기저기 알아보고 있어,2 : 힘들더라도 다 돌아 다녀서 좋은 곳으로 들어가!
7982,1 : 진짜 월세가 훨씬 많아 ㅠ,2 : 월세 아니면 다 매매라고 그러더라 ㅠㅠ
7983,1 : 주로 지하철 역 근처로!,2 : 아 역세권~
7984,1 : 주로 지하철 역 근처로!,2 : 그럼 금액은 꽤 나가겠다 ㅠㅠ
7985,1 : 이번에 학원 끊으려는데 너무 비싸네ㅠㅠ,2 : 요즘 학원비는 어느 정도 나가는데 ㅠㅠ
7986,1 : 한 한달에 보통 50만원?,2 : 헐 요즘 학원비 장난 아니긴 하네 ㅠㅠ
7987,1 : 근데 안다니면 공부를 못하니까,2 : 넌 인강보단 학원을 더 선호 한다고 했었나?
7988,1 : 응 하하 나는 인강은 너무 잠와서ㅠ,2 : 맞아 공부 안하면 뒤쳐져서 하긴 해야되는데 ㅠㅠ
7989,1 : 응 하하 나는 인강은 너무 잠와서ㅠ,2 : 인강이 더 저렴하잖아!
7990,1 : 더 저렴하긴한데 내가 안볼까봐ㅠㅠ,2 : 맞아 의지가 부족해서 공부 안할거 같긴 해 키키
7991,1 : 응 학원 다니면서 뽕 뽑을거야!,2 : 응 비싸더라도 그냥 학원 다녀 키키
7992,1 : 너희 다들 배우 윤여정 알아?,2 : 웅 윤여정 선생님 당연히 알고 있지!
7993,1 : 이번에 금관 문화 훈장 받았대!,2 : 금관 문화 훈장?
7994,1 : 이번에 금관 문화 훈장 받았대!,2 : 그건 무슨 상이야?
7995,1 : 그거 국가에서 주는 훈장이야 하하,2 : 오 대박 어떻게 받으신 거래?
7996,1 : 아무래도 오스카에서 상을 받아서?,2 : 역시 윤여정 선생님... 멋있어!
7997,1 : 응 하하 진짜 같은 여자로써 멋있다,2 : 맞아 연기 도전 하시는 것도 그렇고 하하
7998,"1 : 윤여정 님처럼 늙고 싶다, 우아하고 멋있게",2 : 어 나도 그렇게 늙고 싶어 ㅠㅠ
7999,1 : 나 이번에 수족관 하나 샀어 하하,2 : 오 대박 누구 키우려고 키키
8000,1 : 강아지나 고양이는 키우기 싫어서 물고기!,2 : 물고기 구피 키우려고?
8001,1 : 강아지나 고양이는 키우기 싫어서 물고기!,2 : 물고기 종류 잘 몰라 키키
8002,1 : 내가 꾸준하게 청소해주면 되지,2 : 응 그거 고무장갑 끼고 엄청 닦아야 해 키키
8003,1 : 아직은 몰라 이제 사러 가봐야지,2 : 가서 이쁜 물고기 겟 해와 키키
8004,1 : 몰라 마트 안에 팔고 있던데...?,2 : 어 그럼 구피일 확률 매우 높겠군
8005,1 : 너 다른 먹을 거 사려고 하는 거지,2 : 키키 그런 듯
8006,1 : 너 다른 먹을 거 사려고 하는 거지,2 : 내 간식도 사다 줘
8007,1 : 내 동생이 먼저 시집가다니...,2 : 아 동생 이번에 결혼 해?
8008,1 : 응.. 나보다 먼저 가다니^^,2 : 그러게 너네 동생 나보다도 일찍 가네... 우울
8009,1 : 내 동생이 벌써 시집을 가냐 어떻게,2 : 그러니까 동생도 이제 다 큰 거야 키키
8010,1 : 내 말이 항상 어리게만 봤는데,2 : 아직 우리한테는 애기처럼 보이는데 키키
8011,1 : 내 말이 항상 어리게만 봤는데,2 : 어른 다 됐네 키키
8012,1 : 그러니까 이제 좀 잘 해줘야겠네 키키,2 : 나중에 어엿한 아빠 돼 있어도 신기 할 듯 키키
8013,"1 : 어, 가전제품 하나 사 줘야지",2 : 응 그치 하나 넣어 줘야지...
8014,"1 : 어, 가전제품 하나 사 줘야지",2 : 내 돈 안녕
8015,1 : 요즘 연봉 다 높게 책정되나?,2 : 요즘 연봉 잘 안 오르지 않아?
8016,1 : 아니 새로 들어온 신입이랑 연봉이 비슷한 거같아,2 : 아 뭐지 그건 좀 아닌거 같은데 물어봐바
8017,1 : 얘기하다가 보니까 그런 거 같더라고ㅠ,2 : 헐 뭔가 그러면 기분 상해 ㅠㅠ
8018,1 : 그래서 내일 선임한테 물어보려고 ㅠ,2 : 어어 한번 물어봐바 ㅠㅠ
8019,1 : 그래서 내일 선임한테 물어보려고 ㅠ,2 : 비슷하면 기분 엄청 상할 거 같아 난 ㅠㅠ
8020,1 : 응 내일 바로 물어볼거야,2 : 내가 한게 있는데 신입이랑 같으면 억울하지
8021,1 : 응 그래서 바로 협상 할거야,2 : 웅 비슷하면 바로 연봉 올려버려!
8022,1 : 이번에 카카오페이 청약 했어?,2 : 아니 나는 청약 다른데에 있어!
8023,1 : 응 주식 공모주 말하는 거야!,2 : 엥 내가 아는 청약이랑 다른 거 말하는 거야?
8024,1 : 응 주식 공모주 말하는 거야!,2 : 그게 뭐야 ㅠㅠ
8025,1 : 아 이제 회사가 코스피에 상장한다는 말이야,2 : 공모주 그거 하면 뭐가 좋은 거야?
8026,"1 : 음, 돈 안 잃고 돈 버는거?",2 : 와 나는 지금 다른 세계에 온 거 같아... 하나도 모르겠어 ㅠㅠ
8027,1 : 응 이번에 우리 부모님도 하셨어 하하,2 : 그런 거 뭐 좋은 소식 있음 나도 좀 알려줘 ㅠㅠ
8028,1 : 그래 11월에 다시 알려줄게 하하,2 : 난 하나도 몰라 가르쳐 줘야 해 ㅠㅠ 흑흑
8029,1 : 너희 아이돌 있지 알아?,2 : 어 알지 그 제이와피에서 나온 애들 키키
8030,1 : 응 이번에 일본 진출했데 하하,2 : 아 이제 일본으로 나가는구나 키키
8031,1 : 응 그리고 빌보드에도 자체 기록 세웠대,2 : 대형 기획사 아이돌은 진짜 데뷔하면 성공 확정이더라 키키
8032,1 : 그 기록은 자세하게 몰라...키키,2 : 우리 케이팝 더 성장해서 알려져야 되는데 키키
8033,1 : 아무래도 대형 기획사니까 잘 밀어주네,2 : 맞아 그냥 난 우리나라 성장 했으면 좋겠어 키키
8034,1 : 응 나도 케이팝이 제일 좋아,2 : 방탄 소년단 너무 고마워요 ㅠㅠ
8035,1 : 응 나도 케이팝이 제일 좋아,2 : 케이팝 최고
8036,1 : 나 이번에 네일 했어 하하,2 : 오 가을에 어울리게 이쁜 거 했어?
8037,1 : 응 튀는 거 싫어서 단색으로,2 : 웅 난 단색으로 깔끔한게 더 좋더라 하하
8038,1 : 그래서 일부러 어두운색 했어,2 : 오 굳굳 지금 날씨랑 딱 어울려!
8039,1 : 응 겨울이기도 하고 분위기 내고 싶어서,2 : 잘했어 하하
8040,1 : 응 겨울이기도 하고 분위기 내고 싶어서,2 : 좀 더 지나면 블링블링도 도전하자 키키
8041,1 : 아니~ 겨울은 샌들은 안신으니까,2 : 맞아 양말 두꺼운거 신어야 돼서 하면 안돼 키키
8042,1 : 맞아 그건 주로 여름에 하더라,2 : 와 나 방금 발톱 봤는데 깍아야겠당 하하
8043,1 : 요즘은 요가가 핫 하다며?,2 : 웅 맞아 요가 많이들 하더라 키키
8044,1 : 핫요가도 있고 그냥 요가도 있고!,2 : 나는 플라잉요가가 나랑 잘 맞더라고!
8045,1 : 요가 종류가 많아서 모르겠어...,2 : 요가는 그냥 하는 거고 핫 요가는 따뜻한데서 하는 거 아니야?...
8046,1 : 띠뜻한 곳에서 해서 핫 요가야?,2 : 그래서 핫 요가 아니야? 땀 많이 빼서... 키키
8047,1 : 응 그거 대기구 이용해서 하는거!,2 : 기구 필라테스 나도 여유 되면 해보고 싶어 키키
8048,1 : 응 나도 조만간 배워볼거야,2 : 그거 진짜 좋다고 하던데 ㅠㅠ 체험 해주는데 어디 없나 하하
8049,1 : 나 티비로 인강 들었다 ㅠ,2 : 요즘 티비로 인강도 나와?
8050,1 : 응 근데 부족한 부분은 내가 따로 들어야 돼,2 : 웅 그래도 무료 강의가 어디야 키키
8051,1 : 응 그냥 컴퓨터로 들어야겠어 ㅠㅠ,2 : 이것 저것 너한테 맞는 거 찾아서 들어 키키
8052,1 : 응 그래서 이것저것 보고 있어,2 : 웅 열심히 공부 해야지 ㅠㅠ
8053,1 : 응 그래야 순수 공부 시간을 알지!,2 : 오 대박 그런 것도 놓고 하는구나
8054,1 : 보통 오디오도 같이 사나 요즘?,2 : 오디오?
8055,1 : 보통 오디오도 같이 사나 요즘?,2 : 그 라디오 같은 거 말 하는 거지?
8056,1 : 응 약간 티비 소리가 약한 거 같아서,2 : 아 스피커 불륨 조절 하는거?
8057,1 : 응응 소리를 좀 더 풍성하게 하려고,2 : 맞아 우버 그거 영화랑 드라마 그런 거 다양하게 구분 되어 있더라
8058,1 : 요즘엔 디자인 용도로도 오디오가 나온다고 ㅠ,2 : 웅 맞아 옆에 간지용으로 많이 두더라 키키
8059,1 : 마셸인가 유명한 브랜드 있던데,2 : 기능 보단 디자인이 더 중요한 듯 하하
8060,1 : 응 근데 그건 디자인도 이뻐,2 : 난 관심이 없어서 한번 봐야겠다 키키
8061,1 : 나 이번에 앱으로 택배 보냈어~,2 : 오 앱으로 택배 보내는 것도 있어?
8062,"1 : 앱에 그냥 입력하니까 되던데,",2 : 앱에 신청하면 방문해서 수거 하는거야?
8063,1 : 응 요즘은 전화 안하고 앱으로 다하잖아 하하,2 : 나는 택배 하려면 맨날 우체국 갔는데 키키
8064,1 : 요즘 못 하는 게 없어,2 : 진짜 요즘 너무 편리해져서 살기 편해 키키
8065,1 : 응 그냥 반품신청 버튼만 눌리면 끝이야,2 : 앱으로 신청하면 일반 요금보다 더 저렴해?
8066,1 : 요즘은 거의 다 무료 반품!,2 : 오 대박 진짜 좋다 키키 앱 설치 해야지 하하
8067,1 : 어제 테슬라 천불 넘었데!,2 : 워메 거긴 갈 수록 대박 이구만 키키
8068,1 : 그러니까 어제 미국에서 난리가 났다나봐ㅋ,2 : 지금 거기 들어가기엔 너무 늦었겟지 키키
8069,1 : 미국 시장이 이렇게 좋을 줄이야...,2 : 거기 새로운 공장도 짓고 있다던데 ㅠㅠ
8070,1 : 응 테슬라 때문에 우리나라 회사도 점점 좋아지고 있대 하하,2 : 오 진짜?
8071,1 : 응 테슬라 때문에 우리나라 회사도 점점 좋아지고 있대 하하,2 : 우리나라는 왜 좋아지는건데?
8072,1 : 응 쟤말처럼 관련된 회사들이 있으니까,2 : 아 우리나라에 관련되있는 회사가 많은가보네 키키
8073,1 : 대단해,2 : 나도 주식 공부하면서 찾아 봐야겠다 키키
8074,1 : 내 친구 공차에서 일하는데 손님 장난아니래,2 : 아 공차는 어딜가든 사람 진짜 많더라!
8075,1 : 그래서 다크가 장난아니더라,2 : 나 거기서 보라색 음료수 나도 좋아해 키키
8076,1 : 그래서 다크가 장난아니더라,2 : 많이 먹음
8077,1 : 아니 그게 제일 잘 나가서 극혐이래,2 : 키키 아 진짜?
8078,1 : 아니 그게 제일 잘 나가서 극혐이래,2 : 근데 그게 제일 맛있긴 하지 키키
8079,1 : 키키 나도 사실 공차 좋아하는데 그 지점은 안가,2 : 왜 거기 나오는데 오래 걸려?
8080,1 : 아니 안그래도 바쁜데 온다고 뭐라 할거같아,2 : 아 맞아 친구 생각하면 안 가야되지...
8081,1 : 응... 대신 배민으로 시켜 먹어야지,2 : 아 뭐야 그게 키키
8082,1 : 응... 대신 배민으로 시켜 먹어야지,2 : 티 안나게 괴롭히기?
8083,1 : 오늘 비오는데 우박 떨어지더라ㅠ,2 : 헐 비오는데 우박?
8084,1 : 오늘 비오는데 우박 떨어지더라ㅠ,2 : 우박 맞으면 아파 ㅠㅠ
8085,"1 : 나 중국에 있을때 맞아봤는데 어우,,",2 : 난 우박 떨어지는거 진짜 무섭더라
8086,"1 : 나 중국에 있을때 맞아봤는데 어우,,",2 : 중국 어땠어?
8087,1 : 중국은 날씨가 이상해서 우박도 커 키키,2 : 맞아
8088,1 : 중국은 날씨가 이상해서 우박도 커 키키,2 : 왠지 중국은 우박 스케일 장난 아닐 듯 키키
8089,1 : 그정도는 아니고 그건 과장!,2 : 머리만 하면 너무 큰거 아니야? 키키
8090,1 : 응 맞아 탁탁 떨어지잖아ㅠ,2 : 어 맞아
8091,1 : 응 맞아 탁탁 떨어지잖아ㅠ,2 : 소리가 진짜 너무 무서운거 같아 ㅠㅠ
8092,1 : 아무래도 겨울에 오지 않나?,2 : 우산도 쓸모가 없고...
8093,1 : 아무래도 겨울에 오지 않나?,2 : 철 모자 사야되나 하하
8094,1 : 요즘에 가족들끼리 커플 신발도 하나?,2 : 가족들?
8095,1 : 요즘에 가족들끼리 커플 신발도 하나?,2 : 우리집은 커플 신발은 안 함 ㅠㅠ
8096,1 : 아 이번에 아빠 생일인데 커플로 신고싶어서ㅠ,2 : 티셔츠 이런건 봤는데 신발은 한번도 못 봤어 키키 해드려~
8097,1 : 응 하하 아빠랑 좋은 추억 만들고싶어,2 : 아빠가 받으시면 엄청 좋아하시긴 하겠다!
8098,1 : 응 하하 엄마가 질투할거 같아,2 : 응 항상 부모님 선물 잘 챙겨드리는거 같아 키키
8099,1 : 응 하하 엄마가 질투할거 같아,2 : 엄마도 같이 해서 드려
8100,1 : 응 엄마 선물도 같이 준비하려고!,2 : 웅 그냥 가족템으로 하나 준비 해!
8101,1 : 음 두분 티셔트를 준비해드릴까?,2 : 오 그것도 나쁘지 않을 듯 하하
8102,1 : 너 이번에 결혼 한다면서?,2 : 헐 뭐야 너 벌써 결혼 해?
8103,1 : 와우 너 진짜 멋지다 키키,2 : 대박이다 여자친구가 엄청 감동 받았겠어 키키
8104,1 : 멋지고 터프하게?,2 : 프로포즈는 어떻게 준비 했어?
8105,1 : 그러게 어떻게 준비 한 거야?,2 : 맞아 궁금해 후기 알려 줘 키키
8106,1 : 오 어떤 식으로 이용했는데? 응?,2 : 아 요즘 코시국이라 그렇게 많이 하는 거 같더라 키키
8107,"1 : 와, 너 은근 멋있다 임마",2 : 거기 앉아서 사진도 많이 찍고 그렇던데 키키
8108,1 : 이번에 부모님 크게 싸우셨어 ㅠ,2 : 아이고 왠일로 싸우셨데 ㅠㅠ 화목하잖어 ㅠㅠ
8109,1 : 방 안에서 싸우셔가지고 몰라 ㅠ,2 : 그래서 집안 분위기 별로야? ㅠㅠ
8110,1 : 응 집안 분위기 완전 싸늘,2 : 어떻게 풀 수 있는 방법 없나?
8111,1 : 안그래도 부모님 좋아하는 거 보고있어 키키,2 : 원래 먹으면서 말 하다보면 풀려 키키
8112,1 : 응 너 진짜 기억력 좋다,2 : 와 닭발 좋지 오돌뼈도 같이 시켜서 먹자
8113,1 : 응 지금 바로 시켜야겠다,2 : 지금 시켜서 빨리 화해 시켜 드리자 하하
8114,1 : 슬기로운 산촌생활 너무 재밌어ㅠ,2 : 아 그거 슬의생 예능 인기 많더라 하하
8115,1 : 지금 토마토 카레 먹는데 죽인다...,2 : 그거 삼시세끼?
8116,1 : 지금 토마토 카레 먹는데 죽인다...,2 : 그 예능으로 하는거 맞지?
8117,1 : 삼시세끼 비슷한거 같아,2 : 키키 왠지 대답 안 하는게 지금 배민 켰다
8118,"1 : 키키 어,, 약간 들킨 기분ㅎ...",2 : 맞아 그런거 보면 나도 모르게 시키고 있음 키키
8119,1 : 키키 이런건 너무 잘 알지 말라고,2 : 맞아 근데 1인분 카레 배달 오는데 있어?
8120,1 : 1인분 배달,2 : 오 대박
8121,1 : 1인분 배달,2 : 그럼 먹을만 하지 키키
8122,1 : 요즘도 군대에서 위장크림 발라?,2 : 웅 그거 화장품 가게에서 많이 사가지 않아?
8123,1 : 갑자기 군대 예능보니까 생각나서 키키,2 : 나 예전에 오빠 군대 갈 때 위장크림 화장품 가게에서 사서 보내줬는데 키키
8124,1 : 아니 사실 내 친오빠가 그러더라고 위장크림,2 : 웅 그거 안에도 파는데 피부에 별로래 ㅠㅠ
8125,1 : 바르고 훈련해서 눈 따가웠데 ㅠ,2 : 아 그거 지우는 것도 엄청 일일듯...
8126,1 : 안그래도 눈 안 좋은데 ㅠ,2 : 아이고 오빠 고생 많이 하셨겠네 ㅠㅠ
8127,1 : 걱정해줘서 고마워,2 : 눈 주변만 잘 피해서 잘 바르시라그래 ㅠㅠ
8128,1 : 지금 ocn에서 오 문희 한다!,2 : 오 문희?
8129,1 : 지금 ocn에서 오 문희 한다!,2 : 나문희 선생님 영화야?
8130,1 : 응 나문희 선생님 나오는 영화!,2 : 나 그거 얘기 들었던거 같아 키키
8131,1 : 응 나문희 선생님 나오는 영화!,2 : 보고있어?
8132,1 : 추리물?,2 : 추리?
8133,1 : 추리물?,2 : 다큐일 거 같았는데 아닌가 보네 키키
8134,1 : 어둡지는 않고 완전 코메디!,2 : 코미디 추리몰 궁금하긴 하다 키키
8135,1 : 어둡지는 않고 완전 코메디!,2 : 지금 첫 부분이야?
8136,1 : 응 거의 첫 부분이야 하하,2 : 오 그럼 나도 지금 틀어서 봐야겠다 키키
8137,1 : 응 다들 지금 틀어서 봐!,2 : 첫 부분이면 티비에서 할 때 빨리 봐줘야지 키키
8138,1 : 요즘 우리 동기는 자전거타고 출퇴근해,2 : 헉 자전거 지금 타기엔 너무 춥지 않아?
8139,1 : 전에 버스타다가 사고가 나서 이후로 못탄대ㅠ,2 : 아 그치 사고 한번 나면 무서워서 못 탈 듯 ㅠㅠ
8140,1 : 응 그래서 지하철만 겨우 타고다닌데,2 : 그거 극복 잘 해내야 할텐데 ㅠㅠ
8141,1 : 응 근데 회사 근처에 바로 집이 있어서 괜찮대 하하,2 : 응 근처 아니면 일 다니기 힘들겠어 ㅠㅠ
8142,1 : 그래서 나도 한번 따라서 자전거로 출퇴근 해보려고 키키,2 : 맞아 자전거 타다보면 건강도 챙기고 좋지!
8143,1 : 그래서 나도 한번 따라서 자전거로 출퇴근 해보려고 키키,2 : 너도 같이 도전 해봐 하하
8144,1 : 왜... 출퇴근하는데 에너지 뿜뿜 이거든?,2 : 오 장난 아닌데?
8145,1 : 왜... 출퇴근하는데 에너지 뿜뿜 이거든?,2 : 의욕이 넘쳐 하하
8146,1 : 내 동생 옆에서 카트한다...,2 : 오 모바일 요즘 유행이던데
8147,1 : 내 동생 옆에서 카트한다...,2 : 모바일?
8148,1 : 응 옆에서 현질하고 장난 아니야,2 : 헐 현질은 하지말라고 말려 ㅠㅠ
8149,1 : 아니 이번에 새로운 캐릭터 사야한다고 키키,2 : 게임에 돈 쓰는것 만큼 아까운게 없어 ㅠㅠ
8150,1 : 배찐데 무슨 할로윈 코스튬,2 : 캐릭터가 좋으면 게임이 더 잘 돼?
8151,1 : 아니 꼭 그런것도 아니야ㅠ,2 : 아 그럼 하지 말라고 해 ㅠㅠ
8152,1 : 아니 꼭 그런것도 아니야ㅠ,2 : 돈 아까워
8153,"1 : 그냥 배찌가 귀여워서,, 하,,",2 : 아 수집 욕심이 생기면 그럴 수 있지 ...
8154,1 : 나 오늘 안과 다녀왔어ㅠ,2 : 안과? 거긴 왜
8155,1 : 나 오늘 안과 다녀왔어ㅠ,2 : 다래끼 난거야?
8156,1 : 아니 렌즈때문에 눈이 충혈되서ㅠ,2 : 아이고 렌즈 그만 껴 ㅠㅠ
8157,1 : 응 나는 눈 커보이고 싶어서 렌즈 끼거든,2 : 그럼 안경은 아예 생각이 없어?
8158,1 : 이제는 원데이 렌즈를 사야겠어,2 : 응 원데이로 사 ㅠㅠ
8159,1 : 이제는 원데이 렌즈를 사야겠어,2 : 요즘 다 그거 쓰더라
8160,1 : 응 내가 찾아보니까 더 이쁘더라,2 : 맞아 원데이도 이쁘게 요즘 잘 나오더라고 키키
8161,1 : 응 하하 다음엔 원데이로 끼고 화장해야지 하하,2 : 원데이가 세척도 안하고 편해
8162,1 : 이번에 중국에서 완전 대박 사건,2 : 왜 중국에서 또 뭔 짓 했어?
8163,1 : 키키 아 그런 안 좋은 일이 아니라고!,2 : 아 중국도 좋은 일을 했나 보네?!
8164,1 : 키키 아 그런 안 좋은 일이 아니라고!,2 : 뭔데 하하
8165,1 : 중국에서 31톤 금광이 발견 됐어,2 : 헐 대박 그런 건 왜 우리나라에서 안 터지냐 ㅠㅠ
8166,1 : 응 최대 51톤까지 될 거 같대,2 : 대박이다
8167,1 : 응 최대 51톤까지 될 거 같대,2 : 그럼 그거 발견 한 사람이 주인이야?
8168,1 : 아니 그건 국가 소유지,2 : 아 발견 한 사람한테 따로 보상은 안 해주려나...
8169,1 : 진짜 매장량이 장난 아니야,2 : 와 나도 실제로 한번 보고 싶다 키키
8170,1 : 나 오늘 엄마랑 등산 다녀왔어,2 : 오 엄마랑 어디로 갔다 왔어 키키
8171,1 : 아 백양산 같이 다녀 왔어 하하,2 : 거긴 어디에 있는 산이야?
8172,1 : 여기 우리 집 앞에 산! 같이 가자고 하더라,2 : 아아 집 앞이면 엄마랑 자주 올라 갔다 와 키키
